
███████████████████████████████████████████████████████
no args given, will use default settings
bitset hard limit (set at compile time) = 016 16777 216 = 0x1000000 
crible size (how far the sieve will go) = 016 16777 216 = 0x1000000 
[GEN] Using Eratosthenes Sieve algorithm to find primes 
[GEN] found 1077871 prime numbers. primes in {16777191, 16777216}: 16777199 16777213 
[CHUNK] partitionning crible into an array of ulong
36 	47		2351
36 	53		2357
37 	3		2371
37 	9		2377
37 	13		2381
37 	15		2383
37 	21		2389
37 	25		2393
37 	31		2399
37 	43		2411
37 	49		2417
37 	55		2423
38 	5		2437
38 	9		2441
38 	15		2447
38 	27		2459
38 	35		2467
38 	41		2473
38 	45		2477
39 	7		2503
39 	25		2521
39 	35		2531
39 	43		2539
39 	47		2543
39 	53		2549
39 	55		2551
39 	61		2557
40 	19		2579
40 	31		2591
40 	33		2593
40 	49		2609
40 	57		2617
40 	61		2621
41 	9		2633
41 	23		2647
41 	33		2657
41 	35		2659
41 	39		2663
41 	47		2671
41 	53		2677
41 	59		2683
41 	63		2687
42 	1		2689
42 	5		2693
42 	11		2699
42 	19		2707
42 	23		2711
42 	25		2713
42 	31		2719
42 	41		2729
42 	43		2731
42 	53		2741
42 	61		2749
43 	1		2753
43 	15		2767
43 	25		2777
43 	37		2789
43 	39		2791
43 	45		2797
43 	49		2801
43 	51		2803
44 	3		2819
44 	17		2833
44 	21		2837
44 	27		2843
44 	35		2851
44 	41		2857
44 	45		2861
44 	63		2879
45 	7		2887
45 	17		2897
45 	23		2903
45 	29		2909
45 	37		2917
45 	47		2927
45 	59		2939
46 	9		2953
46 	13		2957
46 	19		2963
46 	25		2969
46 	27		2971
46 	55		2999
46 	57		3001
47 	3		3011
47 	11		3019
47 	15		3023
47 	29		3037
47 	33		3041
47 	41		3049
47 	53		3061
47 	59		3067
48 	7		3079
48 	11		3083
48 	17		3089
48 	37		3109
48 	47		3119
48 	49		3121
49 	1		3137
49 	27		3163
49 	31		3167
49 	33		3169
49 	45		3181
49 	51		3187
49 	55		3191
50 	3		3203
50 	9		3209
50 	17		3217
50 	21		3221
50 	29		3229
50 	51		3251
50 	53		3253
50 	57		3257
50 	59		3259
51 	7		3271
51 	35		3299
51 	37		3301
51 	43		3307
51 	49		3313
51 	55		3319
51 	59		3323
52 	1		3329
52 	3		3331
52 	15		3343
52 	19		3347
52 	31		3359
52 	33		3361
52 	43		3371
52 	45		3373
52 	61		3389
52 	63		3391
53 	15		3407
53 	21		3413
53 	41		3433
53 	57		3449
54 	1		3457
54 	5		3461
54 	7		3463
54 	11		3467
54 	13		3469
54 	35		3491
54 	43		3499
54 	55		3511
54 	61		3517
55 	7		3527
55 	9		3529
55 	13		3533
55 	19		3539
55 	21		3541
55 	27		3547
55 	37		3557
55 	39		3559
55 	51		3571
55 	61		3581
55 	63		3583
56 	9		3593
56 	23		3607
56 	29		3613
56 	33		3617
56 	39		3623
56 	47		3631
56 	53		3637
56 	59		3643
57 	11		3659
57 	23		3671
57 	25		3673
57 	29		3677
57 	43		3691
57 	49		3697
57 	53		3701
57 	61		3709
58 	7		3719
58 	15		3727
58 	21		3733
58 	27		3739
58 	49		3761
58 	55		3767
58 	57		3769
59 	3		3779
59 	17		3793
59 	21		3797
59 	27		3803
59 	45		3821
59 	47		3823
59 	57		3833
60 	7		3847
60 	11		3851
60 	13		3853
60 	23		3863
60 	37		3877
60 	41		3881
60 	49		3889
61 	3		3907
61 	7		3911
61 	13		3917
61 	15		3919
61 	19		3923
61 	25		3929
61 	27		3931
61 	39		3943
61 	43		3947
61 	63		3967
62 	21		3989
62 	33		4001
62 	35		4003
62 	39		4007
62 	45		4013
62 	51		4019
62 	53		4021
62 	59		4027
63 	17		4049
63 	19		4051
63 	25		4057
63 	41		4073
63 	47		4079
63 	59		4091
63 	61		4093
64 	3		4099
64 	15		4111
64 	31		4127
64 	33		4129
64 	37		4133
64 	43		4139
64 	57		4153
64 	61		4157
64 	63		4159
65 	17		4177
65 	41		4201
65 	51		4211
65 	57		4217
65 	59		4219
66 	5		4229
66 	7		4231
66 	17		4241
66 	19		4243
66 	29		4253
66 	35		4259
66 	37		4261
66 	47		4271
66 	49		4273
66 	59		4283
67 	1		4289
67 	9		4297
67 	39		4327
67 	49		4337
67 	51		4339
67 	61		4349
68 	5		4357
68 	11		4363
68 	21		4373
68 	39		4391
68 	45		4397
68 	57		4409
69 	5		4421
69 	7		4423
69 	25		4441
69 	31		4447
69 	35		4451
69 	41		4457
69 	47		4463
70 	1		4481
70 	3		4483
70 	13		4493
70 	27		4507
70 	33		4513
70 	37		4517
70 	39		4519
70 	43		4523
71 	3		4547
71 	5		4549
71 	17		4561
71 	23		4567
71 	39		4583
71 	47		4591
71 	53		4597
71 	59		4603
72 	13		4621
72 	29		4637
72 	31		4639
72 	35		4643
72 	41		4649
72 	43		4651
72 	49		4657
72 	55		4663
73 	1		4673
73 	7		4679
73 	19		4691
73 	31		4703
73 	49		4721
73 	51		4723
73 	57		4729
73 	61		4733
74 	15		4751
74 	23		4759
74 	47		4783
74 	51		4787
74 	53		4789
74 	57		4793
74 	63		4799
75 	1		4801
75 	13		4813
75 	17		4817
75 	31		4831
75 	61		4861
76 	7		4871
76 	13		4877
76 	25		4889
76 	39		4903
76 	45		4909
76 	55		4919
77 	3		4931
77 	5		4933
77 	9		4937
77 	15		4943
77 	23		4951
77 	29		4957
77 	39		4967
77 	41		4969
77 	45		4973
77 	59		4987
78 	1		4993
78 	7		4999
78 	11		5003
78 	17		5009
78 	19		5011
78 	29		5021
78 	31		5023
78 	47		5039
78 	59		5051
79 	3		5059
79 	21		5077
79 	25		5081
79 	31		5087
79 	43		5099
79 	45		5101
79 	51		5107
79 	57		5113
79 	63		5119
80 	27		5147
80 	33		5153
80 	47		5167
80 	51		5171
80 	59		5179
81 	5		5189
81 	13		5197
81 	25		5209
81 	43		5227
81 	47		5231
81 	49		5233
81 	53		5237
82 	13		5261
82 	25		5273
82 	31		5279
82 	33		5281
82 	49		5297
82 	55		5303
82 	61		5309
83 	11		5323
83 	21		5333
83 	35		5347
83 	39		5351
84 	5		5381
84 	11		5387
84 	17		5393
84 	23		5399
84 	31		5407
84 	37		5413
84 	41		5417
84 	43		5419
84 	55		5431
84 	61		5437
85 	1		5441
85 	3		5443
85 	9		5449
85 	31		5471
85 	37		5477
85 	39		5479
85 	43		5483
85 	61		5501
85 	63		5503
86 	3		5507
86 	15		5519
86 	17		5521
86 	23		5527
86 	27		5531
86 	53		5557
86 	59		5563
87 	1		5569
87 	5		5573
87 	13		5581
87 	23		5591
87 	55		5623
88 	7		5639
88 	9		5641
88 	15		5647
88 	19		5651
88 	21		5653
88 	25		5657
88 	27		5659
88 	37		5669
88 	51		5683
88 	57		5689
88 	61		5693
89 	5		5701
89 	15		5711
89 	21		5717
89 	41		5737
89 	45		5741
89 	47		5743
89 	53		5749
90 	19		5779
90 	23		5783
90 	31		5791
90 	41		5801
90 	47		5807
90 	53		5813
90 	61		5821
91 	3		5827
91 	15		5839
91 	19		5843
91 	25		5849
91 	27		5851
91 	33		5857
91 	37		5861
91 	43		5867
91 	45		5869
91 	55		5879
91 	57		5881
92 	9		5897
92 	15		5903
92 	35		5923
92 	39		5927
92 	51		5939
93 	1		5953
93 	29		5981
93 	35		5987
93 	55		6007
93 	59		6011
94 	13		6029
94 	21		6037
94 	27		6043
94 	31		6047
94 	37		6053
94 	51		6067
94 	57		6073
94 	63		6079
95 	9		6089
95 	11		6091
95 	21		6101
95 	33		6113
95 	41		6121
95 	51		6131
95 	53		6133
95 	63		6143
96 	7		6151
96 	19		6163
96 	29		6173
96 	53		6197
96 	55		6199
96 	59		6203
97 	3		6211
97 	9		6217
97 	13		6221
97 	21		6229
97 	39		6247
97 	49		6257
97 	55		6263
97 	61		6269
97 	63		6271
98 	5		6277
98 	15		6287
98 	27		6299
98 	29		6301
98 	39		6311
98 	45		6317
98 	51		6323
98 	57		6329
99 	1		6337
99 	7		6343
99 	17		6353
99 	23		6359
99 	25		6361
99 	31		6367
99 	37		6373
99 	43		6379
99 	53		6389
99 	61		6397
100 	21		6421
100 	27		6427
100 	49		6449
100 	51		6451
101 	5		6469
101 	9		6473
101 	17		6481
101 	27		6491
101 	57		6521
102 	1		6529
102 	19		6547
102 	23		6551
102 	25		6553
102 	35		6563
102 	41		6569
102 	43		6571
102 	49		6577
102 	53		6581
103 	7		6599
103 	15		6607
103 	27		6619
103 	45		6637
103 	61		6653
104 	3		6659
104 	5		6661
104 	17		6673
104 	23		6679
104 	33		6689
104 	35		6691
104 	45		6701
104 	47		6703
104 	53		6709
104 	63		6719
105 	13		6733
105 	17		6737
105 	41		6761
105 	43		6763
105 	59		6779
105 	61		6781
106 	7		6791
106 	9		6793
106 	19		6803
106 	39		6823
106 	43		6827
106 	45		6829
106 	49		6833
106 	57		6841
107 	9		6857
107 	15		6863
107 	21		6869
107 	23		6871
107 	35		6883
107 	51		6899
107 	59		6907
107 	63		6911
108 	5		6917
108 	35		6947
108 	37		6949
108 	47		6959
108 	49		6961
108 	55		6967
108 	59		6971
109 	1		6977
109 	7		6983
109 	15		6991
109 	21		6997
109 	25		7001
109 	37		7013
109 	43		7019
109 	51		7027
109 	63		7039
110 	3		7043
110 	17		7057
110 	29		7069
110 	39		7079
110 	63		7103
111 	5		7109
111 	17		7121
111 	23		7127
111 	25		7129
111 	47		7151
111 	55		7159
112 	9		7177
112 	19		7187
112 	25		7193
112 	39		7207
112 	43		7211
112 	45		7213
112 	51		7219
112 	61		7229
113 	5		7237
113 	11		7243
113 	15		7247
113 	21		7253
113 	51		7283
114 	1		7297
114 	11		7307
114 	13		7309
114 	25		7321
114 	35		7331
114 	37		7333
114 	53		7349
114 	55		7351
115 	9		7369
115 	33		7393
115 	51		7411
115 	57		7417
116 	9		7433
116 	27		7451
116 	33		7457
116 	35		7459
116 	53		7477
116 	57		7481
116 	63		7487
117 	1		7489
117 	11		7499
117 	19		7507
117 	29		7517
117 	35		7523
117 	41		7529
117 	49		7537
117 	53		7541
117 	59		7547
117 	61		7549
118 	7		7559
118 	9		7561
118 	21		7573
118 	25		7577
118 	31		7583
118 	37		7589
118 	39		7591
118 	51		7603
118 	55		7607
119 	5		7621
119 	23		7639
119 	27		7643
119 	33		7649
119 	53		7669
119 	57		7673
120 	1		7681
120 	7		7687
120 	11		7691
120 	19		7699
120 	23		7703
120 	37		7717
120 	43		7723
120 	47		7727
120 	61		7741
121 	9		7753
121 	13		7757
121 	15		7759
121 	45		7789
121 	49		7793
122 	9		7817
122 	15		7823
122 	21		7829
122 	33		7841
122 	45		7853
122 	59		7867
123 	1		7873
123 	5		7877
123 	7		7879
123 	11		7883
123 	29		7901
123 	35		7907
123 	47		7919
123 	55		7927
123 	61		7933
124 	1		7937
124 	13		7949
124 	15		7951
124 	27		7963
124 	57		7993
125 	9		8009
125 	11		8011
125 	17		8017
125 	39		8039
125 	53		8053
125 	59		8059
126 	5		8069
126 	17		8081
126 	23		8087
126 	25		8089
126 	29		8093
126 	37		8101
126 	47		8111
126 	53		8117
126 	59		8123
127 	19		8147
127 	33		8161
127 	39		8167
